Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/compliance/blocks/recent,13,0,110,122.47751537674608,62.80559999868274,227.78159996960312,1977.0,0.22333022754435952,0.0,110,150,150,180,190,230,230,230,230,230,230
GET,/api/v1/compliance/rules,27,0,79,108.07240737981543,51.23520002234727,331.5318999812007,46.0,0.4638397033613621,0.0,79,89,150,160,190,230,330,330,330,330,330
POST,/api/v1/compliance/scan,28,0,73,104.64622499837007,52.62229999061674,469.4873000262305,96.0,0.4810189516340051,0.0,73,83,120,140,170,220,470,470,470,470,470
GET,/api/v1/dashboard/kpi,28,0,75,104.24491072106841,49.336800002492964,243.63120005000383,41.0,0.4810189516340051,0.0,76,110,150,160,190,210,240,240,240,240,240
GET,/api/v1/dashboard/todos,21,0,82,125.40309524185778,60.35060004796833,376.83730002027005,13.0,0.3607642137255038,0.0,82,130,160,170,200,250,380,380,380,380,380
GET,/api/v1/kb/documents,18,0,75,107.60987220176806,55.39460002910346,212.1159000089392,13.0,0.3092264689075747,0.0,79,140,150,160,200,210,210,210,210,210,210
GET,/api/v1/kb/index/status,10,0,65,106.28499001031741,57.52789997495711,241.57860002014786,64.0,0.1717924827264304,0.0,78,82,160,190,240,240,240,240,240,240,240
GET,/api/v1/lineage/search,11,0,75,95.67417272112586,67.34119995962828,207.84950000233948,4958.727272727273,0.18897173099907344,0.0,75,82,85,85,170,210,210,210,210,210,210
GET,/api/v1/reports/drafts,9,0,81,135.10372223229044,54.6952000586316,265.7659000251442,649.0,0.15461323445378736,0.0,81,160,220,240,270,270,270,270,270,270,270
POST,/api/v1/research/qa/ask,12,0,73,134.3767749882924,55.86000008042902,494.94929995853454,641.0,0.20615097927171647,0.0,77,82,200,200,230,490,490,490,490,490,490
GET,/api/v1/sentiment/alerts,12,0,81,125.89635833865032,68.61930002924055,296.8325999099761,13.0,0.20615097927171647,0.0,90,130,180,180,190,300,300,300,300,300,300
GET,/api/v1/sentiment/mock/kpis,9,0,64,106.82712223691244,52.5230000494048,282.4708999833092,941.0,0.15461323445378736,0.0,64,86,110,180,280,280,280,280,280,280,280
GET,/api/v1/sentiment/watchlist,9,0,75,94.06098887686514,54.08559995703399,186.8928000330925,13.0,0.15461323445378736,0.0,75,83,92,160,190,190,190,190,190,190,190
GET,/api/v1/sessions/recent,13,0,72,92.46212310300997,52.87130002398044,252.32740002684295,13.0,0.22333022754435952,0.0,72,82,84,120,140,250,250,250,250,250,250
GET,/api/v1/system/health,43,0,71,103.42715814070733,45.85230001248419,269.1304999170825,175.0,0.7387076757236507,0.0,71,80,140,150,200,250,270,270,270,270,270
GET,/api/v1/system/settings,7,0,71,105.61005711289388,63.31030000001192,209.08289996441454,298.0,0.12025473790850127,0.0,71,78,180,180,210,210,210,210,210,210,210
,Aggregated,270,0,77,109.55804777504117,45.85230001248419,494.94929995853454,438.9888888888889,4.638397033613621,0.0,78,92,150,160,200,240,280,380,490,490,490
